DEBUG 2024-11-04 20:22:26,184 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\django\forms\utils.py first seen with mtime 1729673620.3517177
DEBUG 2024-11-04 20:22:26,184 autoreload File C:\Users\kei\AppData\Local\Programs\Python\Python311\Lib\xml\etree\ElementPath.py first seen with mtime 1701687720.0
DEBUG 2024-11-04 20:22:26,184 autoreload File C:\Users\kei\AppData\Local\Programs\Python\Python311\Lib\wsgiref\__init__.py first seen with mtime 1701687720.0
DEBUG 2024-11-04 20:22:26,184 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\django\core\checks\async_checks.py first seen with mtime 1729673620.279719
DEBUG 2024-11-04 20:22:26,184 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\sklearn\neighbors\_kde.py first seen with mtime 1729673627.758187
DEBUG 2024-11-04 20:22:26,185 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\networkx\algorithms\centrality\betweenness.py first seen with mtime 1729673575.647474
DEBUG 2024-11-04 20:22:26,185 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\idna\idnadata.py first seen with mtime 1729673585.2169175
DEBUG 2024-11-04 20:22:26,185 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\scipy\sparse\linalg\_isolve\_gcrotmk.py first seen with mtime 1729673601.0548432
DEBUG 2024-11-04 20:22:26,185 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\django\db\models\fields\mixins.py first seen with mtime 1729673620.339718
DEBUG 2024-11-04 20:22:26,185 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\pandas\core\indexes\range.py first seen with mtime 1729673641.5218682
DEBUG 2024-11-04 20:22:26,185 autoreload File C:\Users\kei\AppData\Local\Programs\Python\Python311\Lib\inspect.py first seen with mtime 1701687718.0
DEBUG 2024-11-04 20:22:26,185 autoreload File C:\Users\kei\AppData\Local\Programs\Python\Python311\DLLs\_bz2.pyd first seen with mtime 1701687782.0
DEBUG 2024-11-04 20:22:26,185 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\networkx\algorithms\centrality\subgraph_alg.py first seen with mtime 1729673575.6534748
DEBUG 2024-11-04 20:22:26,186 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\requests\certs.py first seen with mtime 1729673614.5359707
DEBUG 2024-11-04 20:22:26,186 autoreload File C:\Users\kei\dev\aco\routing-env\routingSystem\env\Lib\site-packages\scipy\optimize\_linprog_highs.py first seen with mtime 1729673600.8628452
