node,lat,lon,name,tags
305546020,35.656509,139.56955,"はるさーカレー南国屋, はるさーカレー南国屋","['カレー', '沖縄料理', 'アジア・エスニック', '飲食店', 'カレー', '沖縄料理', 'アジア・エスニック', '飲食店']"
306971613,35.645237,139.561508,"日本酒のまっさん, 日本酒のまっさん","['居酒屋', '海鮮', '日本酒バー', '飲食店', '居酒屋', '海鮮', '日本酒バー', '飲食店']"
307350591,35.65876,139.56161,セブンイレブン調布柴崎１丁目店,"['セブンイレブン', 'コンビニ', 'ATM']"
307350662,35.654224,139.568039,"クレソン（CRESSON）, クレソン（CRESSON）","['パスタ', 'カフェ', 'スイーツ', '飲食店', 'パスタ', 'カフェ', 'スイーツ', '飲食店']"
310387490,35.660809,139.522873,"いけとっちゃん, いけとっちゃん, すき家飛田給店, すき家飛田給店, てぃーだかんかん飛田給店, てぃーだかんかん飛田給店, 日高屋飛田給北口店, 日高屋飛田給北口店","['居酒屋', '郷土料理', 'ラーメン', '飲食店', '居酒屋', '郷土料理', 'ラーメン', '飲食店', '牛丼', '飲食店', '牛丼', '飲食店', '沖縄料理', '居酒屋', '焼き鳥', '飲食店', '沖縄料理', '居酒屋', '焼き鳥', '飲食店', '中華料理', 'ラーメン', '餃子', '飲食店', '中華料理', 'ラーメン', '餃子', '飲食店']"
313855128,35.653137,139.560745,"春夏秋冬国領店（チュナチュドン）, 春夏秋冬国領店（チュナチュドン）","['焼肉', '韓国料理', '居酒屋', '飲食店', '焼肉', '韓国料理', '居酒屋', '飲食店']"
315441374,35.663979,139.556931,深大寺自然広場 野草園,"['観光', '遊ぶ', '公園', '植物園']"
316429729,35.65744,139.530121,"とん松, とん松","['とんかつ', '飲食店', 'とんかつ', '飲食店']"
325809771,35.653397,139.556625,"ケーキ工房いづみの森, ケーキ工房いづみの森","['ケーキ', '飲食店', 'ケーキ', '飲食店']"
384060178,35.65633,139.581268,"武者小路実篤記念館, 調布市武者小路実篤記念館 実篤公園","['観光', '遊ぶ', '美術館', '博物館', '観光', '遊ぶ', '公園', '植物園']"
384066890,35.653793,139.584076,大坂 (若葉町3丁目第3緑地),"['観光', '遊ぶ', '名所', '史跡']"
384358959,35.65429,139.56757,セブンイレブン調布柴崎駅南口店,"['セブンイレブン', 'コンビニ', 'ATM']"
393810240,35.661385,139.583847,"とり衛門仙川店（トリエモン）, とり衛門仙川店（トリエモン）, サカナヤアップ, サカナヤアップ, ホルモン家族, ホルモン家族, 寿（ヒサシ）, 寿（ヒサシ）, 魔女のカレー（マジョノカレー）, 魔女のカレー（マジョノカレー）","['居酒屋', '焼き鳥', '串焼き', '飲食店', '居酒屋', '焼き鳥', '串焼き', '飲食店', '居酒屋', '海鮮', '飲食店', '居酒屋', '海鮮', '飲食店', 'ホルモン', '韓国料理', '焼肉', '飲食店', 'ホルモン', '韓国料理', '焼肉', '飲食店', 'ラーメン', 'つけ麺', '飲食店', 'ラーメン', 'つけ麺', '飲食店', 'カレー', 'つけ麺', 'ラーメン', '飲食店', 'カレー', 'つけ麺', 'ラーメン', '飲食店']"
394325789,35.65936,139.5431,セブンイレブン調布富士見町２丁目店,"['セブンイレブン', 'コンビニ', 'ATM']"
429779590,35.65353,139.59146,セブンイレブン調布入間１丁目店,"['セブンイレブン', 'コンビニ', 'ATM']"
429779908,35.652828,139.592331,"コナズ珈琲成城店, コナズ珈琲成城店","['カフェ', 'ハワイ料理', 'パンケーキ', '飲食店', 'カフェ', 'ハワイ料理', 'パンケーキ', '飲食店']"
440146586,35.652832,139.569962,"青木屋調布柴崎店, 青木屋調布柴崎店","['和菓子', 'ケーキ', '飲食店', '和菓子', 'ケーキ', '飲食店']"
443523673,35.651154,139.591064,"神戸屋レストラン成城店（コウベヤレストラン）, 神戸屋レストラン成城店（コウベヤレストラン）","['洋食', 'パン', 'カフェ', '飲食店', '洋食', 'パン', 'カフェ', '飲食店']"
443525342,35.661427,139.589264,"ブラチェリアカクタス（BRACERIACACTUS）, ブラチェリアカクタス（BRACERIACACTUS）","['イタリアン', '創作料理', 'ワインバー', '飲食店', 'イタリアン', '創作料理', 'ワインバー', '飲食店']"
448098094,35.66444,139.548477,"深大寺天然温泉 湯守の里, 深大寺天然温泉湯守の里, 深大寺天然温泉湯守の里","['観光', '遊ぶ', '温泉', 'グルメ', 'レストラン', '日本料理', '飲食店', '日本料理', '飲食店']"
536670527,35.658936,139.54921,大寒桜,"['観光', '遊ぶ', '名所', '史跡']"
543402846,35.666832,139.553741,"福（ふく）, 福（ふく）","['お好み焼き', '鉄板焼き', '飲食店', 'お好み焼き', '鉄板焼き', '飲食店']"
556173775,35.667656,139.548325,"深大寺水神苑（じんだいじ　すいじんえん）, 深大寺水神苑（じんだいじ　すいじんえん）","['日本料理', 'そば', '飲食店', '日本料理', 'そば', '飲食店']"
567906947,35.67699,139.55472,セブンイレブン野ヶ谷三鷹通り店,"['セブンイレブン', 'コンビニ', 'ATM']"
568043961,35.667522,139.561752,"マイクロカフェ調布深大寺店（micro-cafe）, マイクロカフェ調布深大寺店（micro-cafe）","['カフェ', '日本料理', '居酒屋', '飲食店', 'カフェ', '日本料理', '居酒屋', '飲食店']"
632220947,35.660465,139.583481,"RestaurantCOZY（レストランコージー）, RestaurantCOZY（レストランコージー）, 東風庵（コチアン）, 東風庵（コチアン）","['洋食', 'イタリアン', '日本料理', '飲食店', '洋食', 'イタリアン', '日本料理', '飲食店', 'そば', '飲食店', 'そば', '飲食店']"
638229172,35.66146,139.57057,セブンイレブン調布西つつじヶ丘１丁目店,"['セブンイレブン', 'コンビニ', 'ATM']"
638960973,35.664288,139.584106,"Bakeryコムギノホシ仙川店, Bakeryコムギノホシ仙川店","['パン', 'カフェ', '飲食店', 'パン', 'カフェ', '飲食店']"
639028740,35.67841,139.54759,セブンイレブン深大寺店,"['セブンイレブン', 'コンビニ', 'ATM']"
671474056,35.636326,139.556519,"K.C.国領店, K.C.国領店, 壱角家国領店, 壱角家国領店, 武久らぁめん, 武久らぁめん","['インド料理', 'ネパール料理', 'インドカレー', '飲食店', 'インド料理', 'ネパール料理', 'インドカレー', '飲食店', 'ラーメン', 'つけ麺', '飲食店', 'ラーメン', 'つけ麺', '飲食店', 'ラーメン', 'つけ麺', '飲食店', 'ラーメン', 'つけ麺', '飲食店']"
671474121,35.646465,139.525497,多摩川原橋,"['観光', '遊ぶ', '名所', '史跡']"
677458925,35.65921,139.58859,"セブンイレブン調布仙川１丁目店, 光輪堂, 光輪堂","['セブンイレブン', 'コンビニ', 'ATM', '和菓子', '飲食店', '和菓子', '飲食店']"
731790290,35.658081,139.569763,"無添くら寿司調布つつじヶ丘店, 無添くら寿司調布つつじヶ丘店","['回転寿司', '寿司', '飲食店', '回転寿司', '寿司', '飲食店']"
810015934,35.660221,139.585709,"ケンタッキーフライドチキン仙川店, ケンタッキーフライドチキン仙川店, スイスレストランセントバーナード仙川店, スイスレストランセントバーナード仙川店, ヴァニエール（VANNIER）, ヴァニエール（VANNIER）, 松のや仙川店, 松のや仙川店, 焼肉市場うまうま, 焼肉市場うまうま, 鮨・酒・肴杉玉仙川, 鮨・酒・肴杉玉仙川","['レストラン', 'アメリカ料理', '飲食店', 'レストラン', 'アメリカ料理', '飲食店', 'ヨーロッパ料理', '飲食店', 'ヨーロッパ料理', '飲食店', 'カフェ', 'ケーキ', 'かき氷', '飲食店', 'カフェ', 'ケーキ', 'かき氷', '飲食店', 'とんかつ', 'かつ丼', '飲食店', 'とんかつ', 'かつ丼', '飲食店', '焼肉', '韓国料理', '居酒屋', '飲食店', '焼肉', '韓国料理', '居酒屋', '飲食店', '寿司', '居酒屋', '海鮮', '飲食店', '寿司', '居酒屋', '海鮮', '飲食店']"
810020042,35.658714,139.58284,"niwa-coya（ニワコヤ）, niwa-coya（ニワコヤ）","['カフェ', '洋菓子', '飲食店', 'カフェ', '洋菓子', '飲食店']"
873822869,35.649555,139.580475,"仙川鯉寿司（コイスシ）, 仙川鯉寿司（コイスシ）","['寿司', '海鮮', '飲食店', '寿司', '海鮮', '飲食店']"
905105790,35.646626,139.534286,"ルサック（RESSAC）, ルサック（RESSAC）","['パン', '喫茶店', '飲食店', 'パン', '喫茶店', '飲食店']"
994598126,35.652046,139.535278,"(卸)調布食肉センター, (卸)調布食肉センター, セブンイレブン調布下石原２丁目店","['焼肉', 'ホルモン', '居酒屋', '飲食店', '焼肉', 'ホルモン', '居酒屋', '飲食店', 'セブンイレブン', 'コンビニ', 'ATM']"
994887119,35.654865,139.529083,"ガスト調布上石原店, ガスト調布上石原店","['ファミレス', '飲食店', 'ファミレス', '飲食店']"
1035470277,35.658192,139.589218,"炭火焼肉ホルモン美濃や（ミノヤ）, 炭火焼肉ホルモン美濃や（ミノヤ）","['焼肉', 'ホルモン', '飲食店', '焼肉', 'ホルモン', '飲食店']"
1035483682,35.658276,139.584717,"光西寺, 安善寺","['観光', '遊ぶ', '寺', '神社', '教会', '観光', '遊ぶ', '寺', '神社', '教会']"
1138638547,35.64687,139.5504,"BistroD’（ビストロ　ディーダッシュ）, BistroD’（ビストロ　ディーダッシュ）","['ビストロ', 'フレンチ', 'ワインバー', '飲食店', 'ビストロ', 'フレンチ', 'ワインバー', '飲食店']"
1138638569,35.649445,139.550369,"オステリアアルコバレーノ, オステリアアルコバレーノ, 大翁, 大翁","['イタリアン', 'ピザ', 'パスタ', '飲食店', 'イタリアン', 'ピザ', 'パスタ', '飲食店', '中華料理', '飲食店', '中華料理', '飲食店']"
1248180726,35.6726,139.55834,セブンイレブン調布深大寺東５丁目店,"['セブンイレブン', 'コンビニ', 'ATM']"
1268724547,35.644489,139.537308,"みよし, みよし","['たい焼き・大判焼き', '焼きそば', '飲食店', 'たい焼き・大判焼き', '焼きそば', '飲食店']"
1268724554,35.645615,139.537003,"香港屋台市場京王多摩川駅前店（ホンコンヤタイイチバ）, 香港屋台市場京王多摩川駅前店（ホンコンヤタイイチバ）","['中華料理', '飲食店', '中華料理', '飲食店']"
1314172647,35.666397,139.582382,"みっちゃん仙川本店（【旧店名】三鷹みっちゃん）, みっちゃん仙川本店（【旧店名】三鷹みっちゃん）","['お好み焼き', '飲食店', 'お好み焼き', '飲食店']"
1314217182,35.655972,139.589172,"LaPrimaPagina（ラプリマパージナ）, LaPrimaPagina（ラプリマパージナ）, 楽山（らくざん）, 楽山（らくざん）","['イタリアン', 'ワインバー', 'パスタ', '飲食店', 'イタリアン', 'ワインバー', 'パスタ', '飲食店', '四川料理', '飲茶・点心', '担々麺', '飲食店', '四川料理', '飲茶・点心', '担々麺', '飲食店']"
1314217197,35.656361,139.590027,"中華そばしば田, 中華そばしば田, 空彩（ソライロ）, 空彩（ソライロ）","['ラーメン', '飲食店', 'ラーメン', '飲食店', 'カフェ', '食堂', '飲食店', 'カフェ', '食堂', '飲食店']"
1314217203,35.657009,139.584152,光徳寺,"['観光', '遊ぶ', '寺', '神社', '教会']"
1396169399,35.658268,139.588058,"しゃぶ葉仙川, しゃぶ葉仙川, キックバックカフェ（KICKBACKCAFE）, キックバックカフェ（KICKBACKCAFE）, ジョナサン仙川店, ジョナサン仙川店, 仙川湯けむりの里","['しゃぶしゃぶ', '豚しゃぶ', '飲食店', 'しゃぶしゃぶ', '豚しゃぶ', '飲食店', 'カフェ', '創作料理', '飲食店', 'カフェ', '創作料理', '飲食店', 'ファミレス', '飲食店', 'ファミレス', '飲食店', '観光', '遊ぶ', '温泉']"
1396169643,35.660046,139.584824,"ぶっ豚仙川店, ぶっ豚仙川店, ミスタードーナツ仙川ショップ, ミスタードーナツ仙川ショップ, 大衆割烹うなぎ三進, 大衆割烹うなぎ三進, 簓（ささら）, 簓（ささら）","['ラーメン', 'つけ麺', '油そば・まぜそば', '飲食店', 'ラーメン', 'つけ麺', '油そば・まぜそば', '飲食店', 'ドーナツ', '飲茶・点心', 'パン', '飲食店', 'ドーナツ', '飲茶・点心', 'パン', '飲食店', '日本料理', 'うなぎ', '飲食店', '日本料理', 'うなぎ', '飲食店', '日本料理', '創作料理', '飲食店', '日本料理', '創作料理', '飲食店']"
1396169703,35.660404,139.582855,"AOSAN仙川店（アオサン）, AOSAN仙川店（アオサン）, カスレ（Kasure）, カスレ（Kasure）, 旬菜人おしどり, 旬菜人おしどり","['パン', '飲食店', 'パン', '飲食店', 'ビストロ', 'ワインバー', '飲食店', 'ビストロ', 'ワインバー', '飲食店', '日本料理', '居酒屋', '飲食店', '日本料理', '居酒屋', '飲食店']"
