name,lat,lon,hp,tags
深大寺そば「きよし」,35.666958,139.548706,https://soba-kiyoshi.com/,"['そば', 'うどん', '飲食店']"
目利きの銀次調布南口駅前店,35.651218,139.544357,https://www.monteroza.co.jp/shop.html?shop=855182,"['居酒屋', '海鮮', '創作料理', '飲食店']"
レキュム・デ・ジュール（cafe&barLecumedesJours）,35.659866,139.585892,http://lecume.web.fc2.com/,"['喫茶店', 'カフェ', 'バー', '飲食店']"
妻家房トリエ京王調布店（サイカボウ）,35.651062,139.545425,http://www.saikabo.com,"['韓国料理', '焼肉', '居酒屋', '飲食店']"
鶏白湯麺樹,35.637394,139.55455,-,"['ラーメン', '飲食店']"
玉喜,35.668087,139.545349,https://chofu.com/tamaki,"['そば', 'うどん', '飲食店']"
エビスつつじヶ丘店,35.657677,139.575241,http://www.32lime.com/,"['もつ鍋', '居酒屋', '日本酒バー', '飲食店']"
青木屋調布柴崎店,35.652832,139.569962,http://www.aokiya.net/index.html,"['和菓子', 'ケーキ', '飲食店']"
まるたか,35.648357,139.543442,-,"['居酒屋', '焼き鳥', 'うどん', '飲食店']"
掌庵蕎麦石はら,35.662617,139.583923,http://www.ishihara-soba.com,"['そば', '天ぷら', '居酒屋', '飲食店']"
ぶっ豚仙川店,35.660046,139.584824,-,"['ラーメン', 'つけ麺', '油そば・まぜそば', '飲食店']"
マルタ（Maruta）,35.675404,139.546249,https://www.maruta.green,"['ヨーロッパ料理', '飲食店']"
RestaurantCOZY（レストランコージー）,35.660465,139.583481,-,"['洋食', 'イタリアン', '日本料理', '飲食店']"
ブーランジェリークープ（BoulangerieCoupe）,35.657276,139.575394,-,"['パン', 'サンドイッチ', '飲食店']"
鯛幸房,35.650658,139.558014,-,"['たい焼き・大判焼き', '飲食店']"
三代目鳥メロ仙川駅前店,35.663132,139.585297,-,"['居酒屋', '焼き鳥', '飲食店']"
中華そば双葉,35.648907,139.55101,https://chofu.com/units/36243/chukafutaba/,"['中華料理', 'ラーメン', '飲食店']"
おぼんdeごはんトリエ京王調布店,35.651062,139.545425,https://trie-keiochofu.jp/shop/index.jsp?bf=1&fmt=1&shopid=1503,"['食堂', 'カフェ', '飲食店']"
大衆居酒屋もんじゃ酒場だしや調布店（【旧店名】大衆居酒屋もんじゃ酒場）,35.65189,139.545929,https://monja-sakaba.com/chofu/,"['居酒屋', 'もんじゃ焼き', 'お好み焼き', '飲食店']"
食神餃子王,35.655357,139.541931,http://shokujinhp.web.fc2.com/,"['中華料理', '餃子', '飲食店']"
麺匠いしかわや,35.649532,139.557465,-,"['ラーメン', 'つけ麺', '飲食店']"
ラ・ヴィエイユ・フランス仙川店（LAVIEILLEFRANCE）,35.659092,139.586258,http://lavieillefrance.jp/,"['ケーキ', 'ジェラート・アイスクリーム', '飲食店']"
鉄板バルAKICHI（アキチ）,35.652275,139.545364,https://akichi-teppan.owst.jp/,"['鉄板焼き', '居酒屋', 'ステーキ', '飲食店']"
ルパつつじヶ丘店（Lerepas）,35.658253,139.574554,http://www.keio-sh.jp/shop/,"['カフェ', 'パン', 'サンドイッチ', '飲食店']"
真誠家つつじヶ丘店,35.658253,139.574554,http://shinseiya.jp/,"['ラーメン', '飲食店']"
中華そば美芳（ミヨシ）,35.649574,139.558685,-,"['食堂', 'ラーメン', '飲食店']"
ジョンブル柴崎店,35.653927,139.567383,-,"['ステーキ', 'ハンバーグ', '飲食店']"
北海道イタリアンミアボッカトリエ京王調布店,35.651062,139.545425,https://takeout.eastone.co.jp/italian/,"['イタリアン', 'パスタ', 'ピザ', '飲食店']"
札幌味噌麺優（ユウ）,35.658527,139.573883,-,"['ラーメン', '飲食店']"
調布ワインバルBiBBER（ワインバルビバー）,35.652378,139.54567,https://lin.ee/WQaHyzy,"['バル', 'イタリアン', '居酒屋', '飲食店']"
中華料理八幡,35.65855,139.538025,-,"['中華料理', '飲食店']"
中華そばみのや,35.655643,139.567459,https://www.shibasakiminoya.com/,"['ラーメン', 'つけ麺', '飲食店']"
矢田部茶屋（やたべちゃや）,35.666622,139.550476,http://tnk.plala.jp/yatabe/,"['そば', '飲食店']"
あずまや調布駅前店,35.652164,139.544556,http://azuma8.info/index.htm,"['たこ焼き', '飲食店']"
番兵（ばんべい）,35.662872,139.58461,-,"['串揚げ', 'おでん', '立ち飲み', '飲食店']"
肉バルちび九炉調布中央口店,35.652164,139.544556,https://www.chibiclo.net/,"['居酒屋', 'バル', 'ステーキ', '飲食店']"
潤,35.653275,139.542114,http://kohien-jun.jimdo.com/,"['喫茶店', '飲食店']"
ダニーマミー（『DanayMommy』byDankunmama【旧店名】ダン君ママ）,35.6605,139.584137,https://cake.jp/item/3388481/,"['パン', '洋菓子', '飲食店']"
珈琲館調布店,35.652275,139.545364,https://c-united.co.jp/store/detail/066078/,"['喫茶店', '飲食店']"
大翁,35.649445,139.550369,-,"['中華料理', '飲食店']"
ダイニングレストラン楠カンフォーラ,35.65189,139.545929,-,"['海鮮', 'しゃぶしゃぶ', 'うどん', '飲食店']"
