,node,lat,lon,name,tags
647,2643006183,35.6511523,139.5474825,"['オーキッドキッチン（OrchidKitchen）', '二代目うおたまよだれ屋本家調布', 'ティオ・ダンジョウ', '土と青']","['カレー', 'ワインバー', '海鮮', 'タイ料理', 'スペイン料理', 'レストラン', '飲食店', '居酒屋', '日本料理']"
648,2215722586,35.6605526,139.584541,"['OH！膳屋（おぜんや）', '幡乃屋', 'モココクレープ（mococoCREPE）', '横浜家系ラーメン龍神家', 'ドトールコーヒーショップ京王仙川店', '中国菜館福寿（フクジュ）', '酒亭中華いこい', 'ドーナツ工房 レポロ', '餡の輪（アンノワ）']","['洋菓子', 'うどん', '和菓子', 'カフェ', '創作料理', '飲食店', '中華料理', 'ドーナツ', '居酒屋', 'ラーメン', 'パン', 'そば', 'クレープ・ガレット']"
649,2643378456,35.6528598,139.5450229,"['ぽくぽく', '松軒中華食堂調布店', '松屋調布駅前店', '夕焼け飯店（ゆうやけはんてん）']","['カレー', '串揚げ', '海鮮', '創作料理', '牛丼', '飲食店', '中華料理', '居酒屋', '食堂']"
650,287791766,35.6486909,139.5655486,"['リンガーハットイトーヨーカドー国領店', 'すき家イトーヨーカドー国領店', 'はなまるうどんイトーヨーカドー国領店', 'サンブーランジュリ国領店', '築地銀だこイトーヨーカドー国領店', '銀座コージーコーナーイトーヨーカドー国領店', 'サーティワンアイスクリーム国領イトーヨーカドー店', 'マクドナルド国領イトーヨーカドー店']","['カレー', 'たこ焼き', 'ケーキ', 'うどん', 'ハンバーガー', '飲食店', '牛丼', 'パン', 'ジェラート・アイスクリーム', '中華料理', '食堂', 'クレープ・ガレット']"
651,3149244054,35.6573788,139.5463609,['れんげ食堂Toshu調布ヶ丘店（トウシュウ）'],"['食堂', '飲食店']"
652,7274607284,35.6605118,139.5867268,"['磯春（いそはる）', '調布市せんがわ劇場', 'まや徳（まやとく）', 'トラットリア・フィーロ（trattoriafilo）']","['史跡', 'たこ焼き', 'イタリアン', '寿司', '名所', 'お好み焼き', '観光', '飲食店', 'シーフード', '日本酒バー', 'パスタ', '焼酎バー', '遊ぶ']"
653,4720053453,35.6460788,139.5615737,"['トゥエルブ（CRAFTBEERPUBTWELVE12）', 'ホロホロカフェ（HoloHoloCafe）', 'デニーズ調布店']","['ビアホール', '飲食店', 'ビアバー', 'バル', 'カフェ', 'ファミレス']"
654,1396169399,35.6581908,139.5879983,"['しゃぶ葉仙川', '仙川湯けむりの里', 'ジョナサン仙川店', 'キックバックカフェ（KICKBACKCAFE）']","['豚しゃぶ', 'しゃぶしゃぶ', '温泉', '観光', 'カフェ', '創作料理', '飲食店', '遊ぶ', 'ファミレス']"
655,1678448402,35.6475015,139.5460066,['トラットリアティモ（TRATTORIATimo）'],"['イタリアン', '飲食店']"
656,905105790,35.6468751,139.5345136,['ルサック（RESSAC）'],"['喫茶店', '飲食店', 'パン']"
